Seqno;Garantivognsnummer / Garantivognsnummer:;Pris / Driftstimepris i kr.:;Navn;Firma;Bruger;Rutenummer prioritet;Entreprenør prioritet
16-0867;1;284;Navn F;Firma F;Mail F;;
16-3900;1;291;Navn D;Firma D;Mail D;;
16-1170;10;295;Navn F;Firma F;Mail F;;
16-1175;12;307;Navn F;Firma F;Mail F;;
16-3905;12;298;Navn D;Firma D;Mail D;;
16-0872;13;296;Navn F;Firma F;Mail F;;
16-3906;13;288;Navn D;Firma D;Mail D;;
16-1168;16;295;Navn F;Firma F;Mail F;;
16-3907;16;288;Navn D;Firma D;Mail D;;
16-0883;18;284;Navn F;Firma F;Mail F;;
16-3908;18;291;Navn D;Firma D;Mail D;;
16-0875;19;282;Navn F;Firma F;Mail F;;
16-3909;19;289;Navn D;Firma D;Mail D;;
16-1179;2;285;Navn F;Firma F;Mail F;;
16-3901;2;289;Navn D;Firma D;Mail D;;
16-0884;22;296;Navn F;Firma F;Mail F;;
16-3910;22;288;Navn D;Firma D;Mail D;;
16-0508;2500;367;Navn G;Firma G;Mail G;;
16-0459;2502;302;Navn G;Firma G;Mail G;;
16-0460;2503;310;Navn G;Firma G;Mail G;;
16-0461;2504;310;Navn G;Firma G;Mail G;;
16-0462;2505;305;Navn G;Firma G;Mail G;;
16-0463;2506;306;Navn G;Firma G;Mail G;;
16-0464;2507;302;Navn G;Firma G;Mail G;;
16-0465;2508;302;Navn G;Firma G;Mail G;;
16-0466;2509;325;Navn G;Firma G;Mail G;;
16-0467;2510;333;Navn G;Firma G;Mail G;;
16-0468;2511;330;Navn G;Firma G;Mail G;;
16-0471;2512;325;Navn G;Firma G;Mail G;;
16-0472;2513;321;Navn G;Firma G;Mail G;;
16-0473;2514;321;Navn G;Firma G;Mail G;;
16-0474;2515;335;Navn G;Firma G;Mail G;;
16-0475;2516;342;Navn G;Firma G;Mail G;;
16-0476;2517;333;Navn G;Firma G;Mail G;;
16-0477;2518;325;Navn G;Firma G;Mail G;;
16-0478;2519;330;Navn G;Firma G;Mail G;;
16-0479;2520;327;Navn G;Firma G;Mail G;;
